"team","season","rating","shots_outofbox","shots_sixyardbox","shots_penaltyarea","shots_openplay","shots_counter","shots_setpiece","shots_penaltytaken","shots_offtarget","shots_onpost","shots_ontarget","shots_blocked","shots_rightfoot","shots_leftfoot","shots_head","shots_other","goals_sixyardbox","goals_penaltyarea","goals_outofbox","goals_openplay","goals_counter","goals_setpiece","goals_penaltyscored","goals_own","goals_normal","goals_rightfoot","goals_leftfoot","goals_head","goals_other","shots_outofbox_home","shots_sixyardbox_home","shots_penaltyarea_home","shots_openplay_home","shots_counter_home","shots_setpiece_home","shots_penaltytaken_home","shots_offtarget_home","shots_onpost_home","shots_ontarget_home","shots_blocked_home","shots_rightfoot_home","shots_leftfoot_home","shots_head_home","shots_other_home","goals_sixyardbox_home","goals_penaltyarea_home","goals_outofbox_home","goals_openplay_home","goals_counter_home","goals_setpiece_home","goals_penaltyscored_home","goals_own_home","goals_normal_home","goals_rightfoot_home","goals_leftfoot_home","goals_head_home","goals_other_home","shots_outofbox_away","shots_sixyardbox_away","shots_penaltyarea_away","shots_openplay_away","shots_counter_away","shots_setpiece_away","shots_penaltytaken_away","shots_offtarget_away","shots_onpost_away","shots_ontarget_away","shots_blocked_away","shots_rightfoot_away","shots_leftfoot_away","shots_head_away","shots_other_away","goals_sixyardbox_away","goals_penaltyarea_away","goals_outofbox_away","goals_openplay_away","goals_counter_away","goals_setpiece_away","goals_penaltyscored_away","goals_own_away","goals_normal_away","goals_rightfoot_away","goals_leftfoot_away","goals_head_away","goals_other_away"
"Chelsea","2009-10","7.3","377","63","394","572","26","224","12","339","12","288","207","501","212","119","2","27","63","9","63","8","17","11","1","88","54","29","16","0","219","43","210","328","16","120","8","181","9","179","112","282","127","63","0","22","39","5","41","6","11","8","1","58","35","17","14","0","158","20","184","244","10","104","4","158","3","109","95","219","85","56","2","5","24","4","22","2","6","3","0","30","19","12","2","0"
"Manchester United","2009-10","7.19","280","35","380","512","22","153","8","294","10","221","180","452","135","105","3","13","54","9","51","6","13","6","0","70","45","16","14","1","186","30","188","268","12","122","2","166","6","132","106","239","92","71","2","10","23","7","25","3","10","2","0","38","31","5","4","0","130","10","160","215","16","66","3","134","3","85","81","189","71","38","2","4","20","6","19","5","4","2","0","28","19","8","3","0"
"Tottenham","2009-10","7.19","322","44","315","439","29","210","3","273","10","226","182","402","168","109","2","17","42","8","42","6","17","2","0","65","41","14","12","0","150","25","220","297","6","87","5","160","7","136","99","263","64","67","1","9","34","3","32","1","9","4","0","42","26","8","11","1","129","15","152","207","7","81","1","114","4","96","86","169","83","43","1","6","18","7","19","3","8","1","1","30","19","5","7","0"
"Arsenal","2009-10","7.17","268","39","353","456","36","164","4","247","8","233","180","378","196","83","3","14","45","18","49","9","16","3","2","74","48","18","11","0","139","24","201","249","29","83","3","133","4","137","94","209","113","40","2","8","27","11","30","6","8","2","1","44","29","13","4","0","89","22","119","139","9","78","4","87","3","80","63","129","51","50","0","6","12","3","12","0","7","2","0","19","14","2","5","0"
"Aston Villa","2009-10","7.06","195","48","254","299","18","172","8","217","5","158","122","259","114","124","0","14","26","8","23","4","16","5","3","43","26","10","12","0","162","39","181","257","11","112","2","153","9","130","99","235","90","55","2","12","26","3","27","3","9","2","2","39","26","10","4","1","136","14","127","171","17","88","1","107","4","94","76","163","76","38","0","7","19","1","17","3","7","0","0","27","10","9","8","0"
"Manchester City","2009-10","7.06","217","43","266","316","46","159","5","203","7","195","128","301","158","66","1","20","43","10","37","10","21","5","1","68","44","20","9","0","112","26","150","172","21","91","4","112","3","105","71","166","81","40","1","13","23","5","22","3","12","4","1","37","30","7","4","0","105","17","116","144","25","68","1","91","4","90","57","135","77","26","0","7","20","5","15","7","9","1","0","31","14","13","5","0"
"Liverpool","2009-10","7.04","297","52","293","445","19","175","3","269","16","189","184","402","145","93","2","15","36","7","37","4","14","3","2","55","38","13","6","1","106","26","135","160","9","94","4","130","2","78","59","130","63","74","0","8","14","5","11","4","9","3","3","24","12","8","7","0","124","15","111","153","6","88","3","85","4","80","85","121","85","44","0","6","14","3","10","1","10","2","2","21","8","6","9","0"
"Everton","2009-10","7","270","38","281","378","17","186","8","221","10","194","174","261","214","111","3","15","33","8","32","2","17","5","3","51","21","19","16","0","146","23","170","225","11","98","5","136","6","114","89","140","129","67","3","9","19","5","22","1","7","3","1","30","13","13","7","0","135","13","112","188","8","63","1","116","7","59","85","167","55","38","0","3","10","4","10","1","5","1","0","16","12","3","2","0"
"Birmingham","2009-10","6.91","197","42","213","264","25","159","4","173","4","155","124","226","149","71","6","13","16","8","17","4","14","2","1","35","23","7","3","4","97","16","131","150","20","67","7","95","5","90","59","131","69","44","0","6","22","2","17","4","4","5","1","25","16","9","5","0","92","18","104","124","8","81","1","77","0","77","60","111","63","40","0","5","7","6","7","2","9","0","0","18","13","2","3","0"
"Sunderland","2009-10","6.89","198","28","218","274","30","131","9","185","9","159","100","235","129","80","0","12","30","4","25","6","9","6","2","40","24","12","10","0","130","20","123","186","3","83","1","111","4","90","72","130","88","55","0","6","14","6","20","0","5","1","1","25","13","10","3","0","116","23","112","143","7","99","2","121","5","68","62","96","115","40","0","5","9","2","6","0","8","2","2","14","1","11","4","0"
"West Ham","2009-10","6.88","261","21","267","358","14","168","9","234","11","191","124","274","189","84","2","11","30","6","22","0","18","7","3","40","22","11","13","1","105","24","109","140","17","78","3","96","4","78","64","115","86","31","6","8","9","2","10","2","5","2","1","17","10","5","0","4","79","8","96","100","6","77","0","88","2","51","44","89","51","43","0","0","10","0","6","1","3","0","1","10","4","2","4","0"
"Fulham","2009-10","6.86","229","32","202","300","8","151","4","183","6","144","136","234","146","81","2","7","22","9","25","0","9","4","5","34","21","12","4","1","139","10","157","201","4","94","7","132","6","102","72","146","110","49","1","6","20","4","14","0","9","7","1","23","14","9","7","0","122","11","110","157","10","74","2","102","5","89","52","128","79","35","1","5","10","2","8","0","9","0","2","17","8","2","6","1"
"Bolton","2009-10","6.85","254","52","252","320","16","218","4","251","7","163","144","196","262","99","1","12","26","4","18","0","20","4","4","38","7","25","10","0","161","19","120","207","12","80","1","124","4","98","78","156","109","35","0","5","12","2","13","0","5","1","1","18","7","6","6","0","101","12","87","124","10","64","2","90","4","69","41","104","60","36","0","6","8","2","8","2","5","1","1","15","8","3","5","0"
"Stoke","2009-10","6.82","150","44","208","180","17","203","2","194","5","113","95","181","112","109","0","9","22","2","16","1","14","2","1","31","14","10","9","0","105","26","132","128","6","128","1","103","5","92","68","144","61","57","1","10","14","4","12","0","15","1","0","27","15","3","9","1","99","12","79","114","5","68","3","72","2","54","64","104","58","26","2","1","8","3","5","0","4","3","4","9","8","2","1","1"
"Wigan","2009-10","6.81","308","37","210","369","27","156","3","227","9","174","154","268","222","64","1","10","21","5","24","1","10","1","1","35","13","12","10","1","138","29","140","177","9","119","2","130","2","95","82","100","147","59","1","7","17","2","12","0","12","2","2","24","6","14","6","0","77","17","93","122","2","63","0","84","6","55","48","88","65","34","0","8","6","1","7","0","8","0","1","15","9","3","3","0"
"Blackburn","2009-10","6.8","183","54","252","250","12","224","3","205","13","161","123","252","131","105","1","13","21","5","13","2","21","3","1","36","21","6","11","1","71","36","112","80","11","126","2","106","3","62","51","92","61","66","0","9","12","2","10","0","11","2","0","21","10","8","5","0","117","12","91","153","6","58","3","103","2","69","48","114","84","21","1","6","3","1","4","1","4","1","2","9","4","4","2","0"
"Portsmouth","2009-10","6.72","272","37","224","351","16","160","6","229","3","151","153","286","177","68","2","12","19","3","17","2","12","3","3","31","16","11","7","0","155","25","133","198","10","102","3","126","1","82","105","172","93","47","1","6","16","2","13","1","8","2","1","22","12","7","5","0","78","28","120","122","6","96","2","102","8","69","55","108","70","48","0","3","7","1","1","2","6","2","1","9","6","3","2","0"
"Wolverhampton Wanderers","2009-10","6.71","176","38","222","278","6","150","2","194","6","119","123","204","148","83","1","9","16","3","14","0","12","2","3","26","14","8","6","0","114","9","117","162","7","68","3","110","7","78","52","129","76","35","0","2","21","2","18","1","3","3","1","22","11","8","6","0","147","18","90","162","15","76","2","103","5","76","76","112","113","29","1","5","9","3","11","1","5","0","0","17","6","6","4","1"
"Burnley","2009-10","6.67","227","21","211","299","21","133","6","204","13","153","102","246","145","68","0","8","30","4","30","2","4","6","2","36","24","12","6","0","99","21","129","156","4","87","2","110","0","64","75","116","83","49","1","1","10","2","7","0","4","2","2","11","5","5","3","0","113","12","94","137","14","65","3","94","6","75","50","117","69","33","0","6","9","2","12","1","1","3","1","14","13","4","0","0"
"Hull","2009-10","6.64","199","23","166","236","12","132","8","167","4","120","101","218","97","72","1","7","20","7","15","1","12","6","5","28","13","12","8","1","114","16","94","133","6","79","6","93","2","77","54","121","63","40","0","3","12","7","8","1","8","5","3","17","11","7","4","0","85","7","72","103","6","53","2","74","2","43","47","97","34","32","1","4","8","0","7","0","4","1","2","11","2","5","4","1"
